city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
chennai,2021,0.9434613643293442,0.5169549729007019,0.4644095944811174,0.494322157161874,0.7329583884283903
chennai,2022,0.9434613643293442,0.6700988887968996,0.5226557688254256,0.6371497486880906,0.7987142303500362
chennai,2023,0.9434613643293442,0.660650148546525,0.5075687096427957,0.6118932164480758,0.8109854651416326
gaya,2021,0.8709004510111088,0.4670247020383033,0.466434777386313,0.4620452969269095,0.5425855390986555
gaya,2022,0.8709004510111088,0.4702788185198657,0.466364668886199,0.4668039492437203,0.6055388764741612
gaya,2023,0.8709004510111088,0.467902425585499,0.458668485386211,0.4617562507192546,0.5950725035935608
guntur,2021,0.8532980338388554,0.47936728620246527,0.456010724502022,0.46615994273588773,0.5130871727725744
guntur,2022,0.8532980338388554,0.47287348390665557,0.4521578150116884,0.46499206593276043,0.5567439211810584
guntur,2023,0.8532980338388554,0.46670500546191596,0.4479884139021264,0.456383617954822,0.5630361916600738
sagar,2021,0.8337217995083496,0.4976545412719852,0.4849497280290517,0.4878721363426676,0.5696810741295643
sagar,2022,0.8337217995083496,0.49641569009967323,0.48244615952738884,0.4888802261709709,0.638489945119947
sagar,2023,0.8337217995083496,0.488642770620626,0.4730655367300124,0.47829856704793733,0.5957688997614071
durgapur,2021,0.8939479035327695,0.49882790421679074,0.5002266750316274,0.4948072621221912,0.5226846026511316
durgapur,2022,0.8939479035327695,0.5057414325505647,0.49401281282730264,0.4986496438251282,0.5688163348480662
durgapur,2023,0.8939479035327695,0.5074834785591493,0.48518736390465866,0.49526015296224035,0.5559279395717844
nellore,2021,0.8853476884471014,0.48960013327566837,0.4757426863507768,0.47914730683440704,0.53784385477615
nellore,2022,0.8853476884471014,0.4896962686885155,0.48445243044878744,0.48558607396870956,0.5521745497007962
nellore,2023,0.8853476884471014,0.4875192277598554,0.47896297888687606,0.48093207769429136,0.582526494071145
jalgaon,2021,0.8324147772968978,0.46417857337119073,0.42490775042672757,0.4457029081006487,0.5692780904138375
